93 92 62 64 40 89 87 31 05 17 
81 86 76 19 56 20 57 04 81 43 
63 89 95 88 53 11 59 19 29 28 
77 88 53 47 59 72 23 86 33 45 
97 49 61 05 21 95 07 20 05 57 
70 15 41 98 52 56 88 17 87 43 
51 72 53 40 16 22 17 99 38 76 
48 35 95 06 20 81 87 98 57 88 
56 49 98 34 45 97 84 00 34 81 
84 36 63 16 54 46 89 01 24 43 
20 80 84 34 54 97 19 85 28 70 
02 59 36 57 43 41 74 03 26 69 
00 86 30 37 12 57 71 06 73 52 
23 02 74 22 66 22 16 29 24 03 
19 22 82 00 80 06 57 28 84 76 
66 87 16 86 37 39 37 48 15 85 
10 03 94 36 37 91 74 28 39 67 
56 28 85 09 11 31 79 94 36 94 
96 28 60 80 13 87 86 97 99 61 
73 30 20 16 47 11 62 68 90 40 
